
"Acrimony","신랄"
"Anointing Devastating Devices changes nothing because this node is already anointed.","이 노드에는 이미 파괴적인 장치 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Devastating Devices changes nothing.","파괴적인 장치 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Devastating Devices will give you","파괴적인 장치 성유를 부으면 다음 효과를 제공"
"Anointing Devotion changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 헌신 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Devotion changes nothing because this node is already anointed.","이 노드에는 이미 헌신 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Devotion changes nothing.","헌신 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Devotion will give you","헌신 성유를 부으면 다음 효과를 제공"
"Anointing Diamond Skin changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 다이아몬드 피부 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Diamond Skin changes nothing because this node is already anointed.","이 노드에는 이미 다이아몬드 피부 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Diamond Skin changes nothing.","다이아몬드 피부 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Diamond Skin will give you","다이아몬드 피부 성유를 부으면 다음 효과를 제공"
"Anointing Dire Torment changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 지독한 고통 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dire Torment changes nothing because this node is already anointed.","이 노드에는 이미 지독한 고통 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Dire Torment changes nothing.","지독한 고통 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dire Torment will give you","지독한 고통 성유를 부으면 다음 효과를 제공"
"Anointing Dirty Techniques changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 더러운 기술 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dirty Techniques changes nothing because this node is already anointed.","이 노드에는 이미 더러운 기술 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Dirty Techniques changes nothing.","더러운 기술 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dirty Techniques will give you","더러운 기술 성유를 부으면 다음 효과를 제공"
"Anointing Disciple of the Forbidden changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 금단 신봉자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disciple of the Forbidden changes nothing because this node is already anointed.","이 노드에는 이미 금단 신봉자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Disciple of the Forbidden changes nothing.","금단 신봉자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disciple of the Forbidden will give you","금단 신봉자 성유를 부으면 다음 효과를 제공"
"Anointing Disciple of the Slaughter changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 학살 신봉자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disciple of the Slaughter changes nothing because this node is already anointed.","이 노드에는 이미 학살 신봉자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Disciple of the Slaughter changes nothing.","학살 신봉자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disciple of the Slaughter will give you","학살 신봉자 성유를 부으면 다음 효과를 제공"
"Anointing Disciple of the Unyielding changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 완고한 신봉자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disciple of the Unyielding changes nothing because this node is already anointed.","이 노드에는 이미 완고한 신봉자 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Disciple of the Unyielding changes nothing.","완고한 신봉자 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disciple of the Unyielding will give you","완고한 신봉자 성유를 부으면 다음 효과를 제공"
"Anointing Discipline and Training changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 수양과 훈련 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Discipline and Training changes nothing because this node is already anointed.","이 노드에는 이미 수양과 훈련 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Discipline and Training changes nothing.","수양과 훈련 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Discipline and Training will give you","수양과 훈련 성유를 부으면 다음 효과를 제공"
"Anointing Discord Artisan changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 불화의 장인 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Discord Artisan changes nothing because this node is already anointed.","이 노드에는 이미 불화의 장인 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Discord Artisan changes nothing.","불화의 장인 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Discord Artisan will give you","불화의 장인 성유를 부으면 다음 효과를 제공"
"Anointing Disemboweling changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 창자 뽑기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disemboweling changes nothing because this node is already anointed.","이 노드에는 이미 창자 뽑기 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Disemboweling changes nothing.","창자 뽑기 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disemboweling will give you","창자 뽑기 성유를 부으면 다음 효과를 제공"
"Anointing Disintegration changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 분해 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disintegration changes nothing because this node is already anointed.","이 노드에는 이미 분해 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Disintegration changes nothing.","분해 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Disintegration will give you","분해 성유를 부으면 다음 효과를 제공"
"Anointing Dismembering changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 사지 절단 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dismembering changes nothing because this node is already anointed.","이 노드에는 이미 사지 절단 성유가 부어져 있어서 아무것도 변경되지 않습니다."
"Anointing Dismembering changes nothing.","사지 절단 성유를 부어도 아무것도 변경되지 않습니다."
"Anointing Dismembering will give you","사지 절단 성유를 부으면 다음 효과를 제공"
"Anointing Divine Fervour changes nothing because this node is already allocated on the tree.","이 노드가 트리에 이미 할당되어 있으므로 신성한 열정 성유를 부어도 아무것도 변경되지 않습니다."
